Reaction,Target_Nucleus,Target_Z,Target_N,Target_Mass_A,Projectile,Compound_Nucleus,Compound_A,Compound_Z,Neutron_Excess,Isospin_Tz,Reduced_Mass_mu,Coulomb_Barrier_MeV,Gamow_Peak_E0_MeV,Gamow_Window_dE0_MeV,Energy_c.m._MeV,Sommerfeld_eta,Gamow_Factor_Exp_2pi_eta,S_Factor_S_E_keV_b,Cross_Section_sigma_nb,S0_Experimental_keV_b,S0_Exp_Uncertainty,S0_Theoretical_EFT_keV_b,ML_Polynomial_Reg_S0,ML_Cubic_Spline_S0,ML_Power_Law_S0,PCA_Component_1,PCA_Component_2,tSNE_Component_1,tSNE_Component_2,Network_Degree_Centrality
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.02,4.1667,4.2679e-12,20.7993,4.4384e+00,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.0492,2.6566,5.6349e-08,20.7982,2.3820e+04,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.0785,2.1031,1.8241e-06,20.7971,4.8326e+05,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.1077,1.7955,1.2601e-05,20.796,2.4332e+06,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.137,1.592,4.5272e-05,20.7949,6.8717e+06,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.1662,1.4454,1.1373e-04,20.7938,1.4229e+07,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.1955,1.3327,2.3089e-04,20.7927,2.4557e+07,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.2247,1.2431,4.0544e-04,20.7916,3.7515e+07,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.2539,1.1694,6.4407e-04,20.7905,5.2739e+07,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.2832,1.1073,9.5173e-04,20.7894,6.9865e+07,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.3124,1.0543,1.3280e-03,20.7883,8.8368e+07,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.3417,1.008,1.7754e-03,20.7872,1.0800e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.3709,0.9676,2.2897e-03,20.7861,1.2832e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.4002,0.9315,2.8726e-03,20.785,1.4919e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.4294,0.8992,3.5174e-03,20.7839,1.7025e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.4587,0.87,4.2255e-03,20.7828,1.9145e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.4879,0.8436,4.9890e-03,20.7817,2.1250e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.5171,0.8194,5.8071e-03,20.7806,2.3337e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.5464,0.7972,6.6794e-03,20.7795,2.5402e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.5756,0.7767,7.5968e-03,20.7785,2.7423e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.6049,0.7576,8.5624e-03,20.7774,2.9410e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.6341,0.74,9.5666e-03,20.7763,3.1345e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.6634,0.7235,1.0613e-02,20.7752,3.3237e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.6926,0.708,1.1693e-02,20.7741,3.5072e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.7218,0.6936,1.2806e-02,20.773,3.6854e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.7511,0.6799,1.3953e-02,20.7719,3.8589e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.7803,0.6671,1.5126e-02,20.7708,4.0264e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.8096,0.6549,1.6329e-02,20.7697,4.1892e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.8388,0.6434,1.7553e-02,20.7686,4.3461e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.8681,0.6324,1.8803e-02,20.7675,4.4983e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.8973,0.6221,2.0070e-02,20.7664,4.6448e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.9266,0.6121,2.1360e-02,20.7653,4.7868e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.9558,0.6027,2.2663e-02,20.7642,4.9233e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,0.985,0.5937,2.3981e-02,20.7631,5.0551e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.0143,0.5851,2.5319e-02,20.762,5.1826e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
"7Be(p, gamma)8B",7Be,4,3,7,p,87Be,8,5,-2,-1.0,0.875,1.648,0.0179,0.0111,1.0435,0.5768,2.6665e-02,20.7609,5.3051e+08,20.8,0.7,20.9,20.696,20.8,20.4256,-0.7356,-0.0431,9.7223,3.0,0.32
